Word,lotus.txt count,walden.txt count,lotus.txt freq,walden.txt freq,Log Likelihood
Buddha,1163,0,0.01053,0.00000,1675.68991
Law,596,1,0.00540,0.00001,841.28309
beings,576,4,0.00522,0.00003,785.47830
will,1297,277,0.01174,0.00236,783.64293
which,88,865,0.00080,0.00738,689.02545
Buddhas,468,0,0.00424,0.00000,666.62410
World,380,1,0.00344,0.00001,529.57006
I,758,2011,0.00686,0.01715,521.46249
Honored,339,0,0.00307,0.00000,480.13517
a,1433,2990,0.01298,0.02550,479.88793
One,529,55,0.00479,0.00047,472.79822
sutra,326,0,0.00295,0.00000,461.36347
but,115,666,0.00104,0.00568,397.60251
my,160,743,0.00145,0.00634,374.54374
great,540,96,0.00489,0.00082,368.59784
bodhisattvas,260,0,0.00235,0.00000,366.14024
living,399,42,0.00361,0.00036,354.16189
Bodhisattva,233,0,0.00211,0.00000,327.23086
thousand,353,35,0.00320,0.00030,320.33773
it,592,1423,0.00536,0.01214,307.62277
preach,213,1,0.00193,0.00001,289.78264
this,1093,482,0.00990,0.00411,282.81964
heavenly,215,3,0.00195,0.00003,278.05607
Come,214,3,0.00194,0.00003,276.64401
not,386,1037,0.00350,0.00885,272.78288
At,323,43,0.00292,0.00037,258.14671
immeasurable,195,2,0.00177,0.00002,256.61812
than,34,316,0.00031,0.00270,243.80731
saying,198,5,0.00179,0.00004,241.86658
kalpas,167,0,0.00151,0.00000,232.27599
was,329,884,0.00298,0.00754,232.31756
some,46,336,0.00042,0.00287,230.27148
extinction,161,0,0.00146,0.00000,223.65817
all,965,451,0.00874,0.00385,223.93031
thousands,187,6,0.00169,0.00005,221.13052
these,455,125,0.00412,0.00107,219.45028
Thus,225,18,0.00204,0.00015,218.76870
ten,266,35,0.00241,0.00030,213.43716
wisdom,213,16,0.00193,0.00014,210.94823
Sutra,151,0,0.00137,0.00000,209.30205
bodhisattva,150,0,0.00136,0.00000,207.86694
Lotus,146,0,0.00132,0.00000,202.12750
its,79,385,0.00072,0.00328,201.19344
assembly,140,0,0.00127,0.00000,193.52139
attain,145,1,0.00131,0.00001,192.80406
sons,145,1,0.00131,0.00001,192.80406
able,176,9,0.00159,0.00008,191.47408
woods,0,148,0.00000,0.00126,187.32203
persons,148,5,0.00134,0.00004,172.85809
Great,153,7,0.00139,0.00006,169.80754
pond,8,165,0.00007,0.00141,162.54480
King,131,3,0.00119,0.00003,160.27993
mind,226,39,0.00205,0.00033,156.15137
million,134,5,0.00121,0.00004,153.74395
alms,112,0,0.00101,0.00000,153.41743
ice,0,121,0.00000,0.00103,151.84754
vehicle,111,0,0.00101,0.00000,151.98723
preached,106,0,0.00096,0.00000,144.83880
It,64,293,0.00058,0.00250,144.93359
time,448,173,0.00406,0.00148,143.01891
power,147,12,0.00133,0.00010,141.12991
monks,104,0,0.00094,0.00000,141.98068
on,296,694,0.00268,0.00592,141.99994
as,598,1138,0.00541,0.00971,140.96743
powers,115,3,0.00104,0.00003,138.12958
preaching,106,1,0.00096,0.00001,137.56448
kinds,138,10,0.00125,0.00009,137.13993
directions,123,6,0.00111,0.00005,134.13813
at,251,610,0.00227,0.00520,133.81250
me,100,347,0.00091,0.00296,129.62758
constantly,116,5,0.00105,0.00004,129.35774
king,119,6,0.00108,0.00005,128.79276
expedient,107,3,0.00097,0.00003,127.10833
jeweled,94,0,0.00085,0.00000,127.70203
our,72,290,0.00065,0.00247,127.26847
lands,107,3,0.00097,0.00003,127.10833
man,107,358,0.00097,0.00305,127.97898
person,142,14,0.00129,0.00012,127.72587
verse,98,1,0.00089,0.00001,126.28992
Shariputra,93,0,0.00084,0.00000,126.27535
law,153,19,0.00139,0.00016,125.31102
samyak,91,0,0.00082,0.00000,123.42270
gained,96,1,0.00087,0.00001,123.47523
only,65,272,0.00059,0.00232,123.85175
voice,133,12,0.00120,0.00010,123.32833
winter,0,98,0.00000,0.00084,121.70985
spoke,113,6,0.00102,0.00005,120.80287
Because,98,2,0.00089,0.00002,120.19556
various,153,21,0.00139,0.00018,119.48114
any,49,233,0.00044,0.00199,118.79130
sambodhi,87,0,0.00079,0.00000,117.72036
anuttara,87,0,0.00079,0.00000,117.72036
benefits,87,0,0.00079,0.00000,117.72036
wonderful,116,8,0.00105,0.00007,116.44061
more,113,353,0.00102,0.00301,115.45492
you,573,287,0.00519,0.00245,114.97609
most,33,192,0.00030,0.00164,113.76839
flowers,130,14,0.00118,0.00012,112.84484
Universal,81,0,0.00073,0.00000,109.17492
day,39,201,0.00035,0.00171,109.14162
morning,0,88,0.00000,0.00075,108.63888
practice,104,6,0.00094,0.00005,108.88850
Shakyamuni,80,0,0.00072,0.00000,107.75170
hundred,177,37,0.00160,0.00032,107.13171
recite,79,0,0.00072,0.00000,106.32879
Good,91,3,0.00082,0.00003,105.20188
millions,101,6,0.00091,0.00005,104.93790
understand,110,10,0.00100,0.00009,101.33936
Walden,0,82,0.00000,0.00070,100.80838
Dharma,75,0,0.00068,0.00000,100.64042
countless,74,0,0.00067,0.00000,99.21918
sutras,74,0,0.00067,0.00000,99.21918
hearers,74,0,0.00067,0.00000,99.21918
And,203,55,0.00184,0.00047,98.68430
Brahma,89,4,0.00081,0.00003,97.71221
water,34,178,0.00031,0.00152,97.66858
Wonderful,72,0,0.00065,0.00000,96.37780
would,117,334,0.00106,0.00285,95.97858
may,54,218,0.00049,0.00186,95.63484
joy,102,9,0.00092,0.00008,94.75855
four,153,31,0.00139,0.00026,94.57878
of,4082,3476,0.03696,0.02965,94.66370
gain,79,2,0.00072,0.00002,93.94734
expound,70,0,0.00063,0.00000,93.53793
new,3,90,0.00003,0.00077,93.45227
hundreds,70,0,0.00063,0.00000,93.53793
uphold,69,0,0.00062,0.00000,92.11860
transcendental,69,0,0.00062,0.00000,92.11860
so,178,428,0.00161,0.00365,91.76826
attained,84,4,0.00076,0.00003,91.02990
minds,90,6,0.00081,0.00005,90.55542
surface,0,73,0.00000,0.00062,89.08311
accept,83,4,0.00075,0.00003,89.69727
worlds,76,2,0.00069,0.00002,89.82970
Ganges,79,3,0.00072,0.00003,88.92317
shore,4,90,0.00004,0.00077,88.78415
offerings,66,0,0.00060,0.00000,87.86310
world,264,99,0.00239,0.00084,87.67044
kings,78,3,0.00071,0.00003,87.57379
spring,1,76,0.00001,0.00065,86.48113
preaches,65,0,0.00059,0.00000,86.44549
Bodhisattvas,65,0,0.00059,0.00000,86.44549
summer,0,70,0.00000,0.00060,85.18101
unsurpassed,64,0,0.00058,0.00000,85.02833
evil,112,16,0.00101,0.00014,85.26645
way,274,107,0.00248,0.00091,85.76695
Virtue,68,1,0.00062,0.00001,84.28797
sands,76,3,0.00069,0.00003,84.87874
son,91,8,0.00082,0.00007,84.39586
profound,68,1,0.00062,0.00001,84.28797
incense,72,2,0.00065,0.00002,84.35341
wheel,76,3,0.00069,0.00003,84.87874
entered,75,3,0.00068,0.00003,83.53314
sake,92,9,0.00083,0.00008,82.22651
practices,62,0,0.00056,0.00000,82.19546
doctrines,66,1,0.00060,0.00001,81.50898
got,1,71,0.00001,0.00061,80.10560
means,121,22,0.00110,0.00019,80.25746
nirvana,61,0,0.00055,0.00000,80.77978
get,6,89,0.00005,0.00076,79.34677
named,91,10,0.00082,0.00009,77.75326
enter,63,1,0.00057,0.00001,77.34712
merit,63,1,0.00057,0.00001,77.34712
multitude,73,4,0.00066,0.00003,76.45068
form,136,31,0.00123,0.00026,76.72926
by,365,672,0.00330,0.00573,75.02108
much,33,150,0.00030,0.00128,73.18138
might,10,96,0.00009,0.00082,73.62142
Ones,56,0,0.00051,0.00000,73.70952
meaning,82,8,0.00074,0.00007,73.13119
beg,55,0,0.00050,0.00000,72.29723
samadhi,55,0,0.00050,0.00000,72.29723
live,13,103,0.00012,0.00088,72.39539
Now,79,7,0.00072,0.00006,72.77726
causes,70,4,0.00063,0.00003,72.50841
house,57,195,0.00052,0.00166,71.25131
body,135,33,0.00122,0.00028,71.82166
believers,54,0,0.00049,0.00000,70.88558
understanding,58,1,0.00053,0.00001,70.43025
Nature,0,58,0.00000,0.00049,69.61197
every,16,108,0.00014,0.00092,69.62959
If,262,114,0.00237,0.00097,68.80650
enough,4,72,0.00004,0.00061,67.01644
snow,1,60,0.00001,0.00051,66.15046
difficult,74,7,0.00067,0.00006,66.52240
Vehicle,51,0,0.00046,0.00000,66.65468
boundless,59,2,0.00053,0.00002,66.68730
if,214,439,0.00194,0.00374,66.22937
for,580,941,0.00525,0.00803,66.64269
desires,55,1,0.00050,0.00001,66.29331
State,0,55,0.00000,0.00047,65.73151
better,3,67,0.00003,0.00057,65.17849
adorned,58,2,0.00053,0.00002,65.33829
Perceiver,50,0,0.00045,0.00000,65.24582
palms,50,0,0.00045,0.00000,65.24582
number,88,13,0.00080,0.00011,65.49902
follower,54,1,0.00049,0.00001,64.91676
wood,4,70,0.00004,0.00060,64.62889
half,8,82,0.00007,0.00070,64.29595
an,176,379,0.00159,0.00323,64.25061
town,2,62,0.00002,0.00053,63.58080
Buddhahood,49,0,0.00044,0.00000,63.83772
while,17,104,0.00015,0.00089,63.05035
Manjushri,49,0,0.00044,0.00000,63.83772
should,345,180,0.00312,0.00154,62.99842
mahasattvas,48,0,0.00043,0.00000,62.43041
blessings,48,0,0.00043,0.00000,62.43041
Wisdom,48,0,0.00043,0.00000,62.43041
found,5,71,0.00005,0.00061,61.97423
part,19,107,0.00017,0.00091,61.38941
offering,55,2,0.00050,0.00002,61.30141
enlightenment,47,0,0.00043,0.00000,61.02392
who,572,361,0.00518,0.00308,61.70392
behind,0,51,0.00000,0.00044,60.56657
commonly,0,51,0.00000,0.00044,60.56657
sometimes,12,89,0.00011,0.00076,60.20943
listen,58,3,0.00053,0.00003,60.89368
he,927,666,0.00839,0.00568,60.31780
bottom,1,55,0.00001,0.00047,59.84694
someone,46,0,0.00042,0.00000,59.61830
Flower,50,1,0.00045,0.00001,59.42389
delight,59,4,0.00053,0.00003,58.20867
numerous,70,8,0.00063,0.00007,58.41906
did,32,132,0.00029,0.00113,58.76744
Medicine,45,0,0.00041,0.00000,58.21358
The,621,408,0.00562,0.00348,58.21388
pine,0,49,0.00000,0.00042,57.98841
little,23,112,0.00021,0.00096,57.62651
past,92,18,0.00083,0.00015,57.81524
six,94,19,0.00085,0.00016,57.76029
almost,1,52,0.00001,0.00044,56.07939
tower,44,0,0.00040,0.00000,56.80978
least,3,60,0.00003,0.00051,56.72556
single,95,20,0.00086,0.00017,56.67928
Sound,44,0,0.00040,0.00000,56.80978
still,51,166,0.00046,0.00142,56.90859
pure,103,24,0.00093,0.00020,56.83669
non,48,1,0.00043,0.00001,56.68617
obeisance,44,0,0.00040,0.00000,56.80978
evening,0,47,0.00000,0.00040,55.41341
span,43,0,0.00039,0.00000,55.40697
is,906,1320,0.00820,0.01126,55.19168
Treasures,42,0,0.00038,0.00000,54.00517
After,78,13,0.00071,0.00011,54.10999
eighty,53,3,0.00048,0.00003,54.34138
wishing,55,4,0.00050,0.00003,53.08102
voices,58,5,0.00053,0.00004,53.32314
treasures,55,4,0.00050,0.00003,53.08102
others,111,30,0.00101,0.00026,53.71030
cause,73,11,0.00066,0.00009,53.50761
compassion,49,2,0.00044,0.00002,53.27884
innumerable,46,1,0.00042,0.00001,53.95491
saha,41,0,0.00037,0.00000,52.60444
side,13,84,0.00012,0.00072,52.42540
green,0,44,0.00000,0.00038,51.55746
Sounds,48,2,0.00043,0.00002,51.94923
manner,54,4,0.00049,0.00003,51.80622
together,100,25,0.00091,0.00021,51.92708
sun,12,81,0.00011,0.00069,51.83834
over,67,187,0.00061,0.00160,51.63835
suffering,51,3,0.00046,0.00003,51.73782
Concord,0,43,0.00000,0.00037,50.27404
praise,56,5,0.00051,0.00004,50.82224
them,524,341,0.00474,0.00291,50.80281
employ,46,2,0.00042,0.00002,49.29720
jewel,39,0,0.00035,0.00000,49.80639
Bright,46,2,0.00042,0.00002,49.29720
explain,43,1,0.00039,0.00001,49.87131
meditation,46,2,0.00042,0.00002,49.29720
the,7322,6938,0.06630,0.05918,49.02231
offer,64,9,0.00058,0.00008,48.43411
her,15,85,0.00014,0.00073,48.71151
seven,75,14,0.00068,0.00012,48.42826
Sons,42,1,0.00038,0.00001,48.51397
Pure,38,0,0.00034,0.00000,48.40918
dragons,38,0,0.00034,0.00000,48.40918
wild,3,52,0.00003,0.00044,47.18881
teacher,45,2,0.00041,0.00002,47.97498
government,3,52,0.00003,0.00044,47.18881
fold,37,0,0.00034,0.00000,47.01325
till,7,64,0.00006,0.00055,47.41063
disciples,37,0,0.00034,0.00000,47.01325
within,6,61,0.00005,0.00052,47.14672
human,120,39,0.00109,0.00033,47.68210
supernatural,37,0,0.00034,0.00000,47.01325
lion,41,1,0.00037,0.00001,47.15871
nuns,37,0,0.00034,0.00000,47.01325
You,108,33,0.00098,0.00028,46.00331
sounds,55,6,0.00050,0.00005,46.37516
life,83,206,0.00075,0.00176,46.63703
perchance,0,39,0.00000,0.00033,45.15102
hour,0,39,0.00000,0.00033,45.15102
presence,54,6,0.00049,0.00005,45.16542
birth,52,5,0.00047,0.00004,45.86163
rather,1,43,0.00001,0.00037,44.85773
village,10,69,0.00009,0.00059,44.49756
prophecy,35,0,0.00032,0.00000,44.22556
father,73,15,0.00066,0.00013,44.08259
own,36,123,0.00033,0.00105,44.60038
Then,56,7,0.00051,0.00006,44.61096
hearing,56,7,0.00051,0.00006,44.61096
had,316,535,0.00286,0.00456,44.71693
nayutas,35,0,0.00032,0.00000,44.22556
when,165,326,0.00149,0.00278,44.48066
seat,51,5,0.00046,0.00004,44.63077
supreme,35,0,0.00032,0.00000,44.22556
asuras,35,0,0.00032,0.00000,44.22556
society,0,38,0.00000,0.00032,43.87320
find,13,75,0.00012,0.00064,43.36165
inconceivable,38,1,0.00034,0.00001,43.10639
best,4,52,0.00004,0.00044,43.53572
Indian,0,37,0.00000,0.00032,42.59666
necessary,0,37,0.00000,0.00032,42.59666
New,0,37,0.00000,0.00032,42.59666
Pond,0,37,0.00000,0.00032,42.59666
repentance,34,0,0.00031,0.00000,42.83395
doubts,34,0,0.00031,0.00000,42.83395
likewise,41,2,0.00037,0.00002,42.71402
outflows,34,0,0.00031,0.00000,42.83395
words,106,34,0.00096,0.00029,42.70710
ever,22,93,0.00020,0.00079,42.10727
existence,63,11,0.00057,0.00009,42.24531
become,111,37,0.00101,0.00032,42.73030
Adornment,34,0,0.00031,0.00000,42.83395
farmer,0,36,0.00000,0.00031,41.32149
embrace,33,0,0.00030,0.00000,41.44393
door,4,50,0.00004,0.00043,41.24720
encounter,33,0,0.00030,0.00000,41.44393
towers,37,1,0.00034,0.00001,41.76049
conditions,37,1,0.00034,0.00001,41.76049
first,41,128,0.00037,0.00109,41.39337
honored,37,1,0.00034,0.00001,41.76049
vow,33,0,0.00030,0.00000,41.44393
Maitreya,33,0,0.00030,0.00000,41.44393
men,104,230,0.00094,0.00196,41.26430
people,96,29,0.00087,0.00025,41.33484
quite,0,35,0.00000,0.00030,40.04774
God,0,35,0.00000,0.00030,40.04774
often,3,46,0.00003,0.00039,40.14603
passed,90,26,0.00081,0.00022,40.59697
teachings,32,0,0.00029,0.00000,40.05560
each,129,50,0.00117,0.00043,40.57517
Chapter,32,0,0.00029,0.00000,40.05560
run,2,42,0.00002,0.00036,39.24998
few,15,76,0.00014,0.00065,39.98835
sand,1,39,0.00001,0.00033,39.91879
round,5,51,0.00005,0.00044,39.13941
England,0,34,0.00000,0.00029,38.77551
guard,38,2,0.00034,0.00002,38.80133
teaching,31,0,0.00028,0.00000,38.66906
born,64,13,0.00058,0.00011,38.83463
could,73,177,0.00066,0.00151,38.28973
soon,5,50,0.00005,0.00043,38.03194
death,60,11,0.00054,0.00009,38.95727
women,62,12,0.00056,0.00010,38.87390
beans,0,33,0.00000,0.00028,37.50487
race,1,37,0.00001,0.00032,37.46324
causing,37,2,0.00034,0.00002,37.50421
quickly,34,1,0.00031,0.00001,37.73919
higher,1,36,0.00001,0.00031,36.23936
reverence,47,6,0.00043,0.00005,36.82114
capable,36,2,0.00033,0.00002,36.21096
treasure,36,2,0.00033,0.00002,36.21096
Suppose,33,1,0.00030,0.00001,36.40474
Therefore,36,2,0.00033,0.00002,36.21096
asamkhya,29,0,0.00026,0.00000,35.90182
yojanas,29,0,0.00026,0.00000,35.90182
lotus,32,1,0.00029,0.00001,35.07357
days,13,67,0.00012,0.00057,35.58315
fully,32,1,0.00029,0.00001,35.07357
bring,48,7,0.00043,0.00006,35.28575
Excellent,29,0,0.00026,0.00000,35.90182
eight,67,16,0.00061,0.00014,35.89822
came,30,100,0.00027,0.00085,35.05225
farm,0,31,0.00000,0.00026,34.96877
animal,0,31,0.00000,0.00026,34.96877
mile,0,31,0.00000,0.00026,34.96877
Constellation,28,0,0.00025,0.00000,34.52138
against,3,41,0.00003,0.00035,34.36839
kalpa,28,0,0.00025,0.00000,34.52138
expounded,28,0,0.00025,0.00000,34.52138
Watson,28,0,0.00025,0.00000,34.52138
Burton,28,0,0.00025,0.00000,34.52138
Translated,28,0,0.00025,0.00000,34.52138
gold,40,4,0.00036,0.00003,34.33715
His,75,21,0.00068,0.00018,34.80440
banners,28,0,0.00025,0.00000,34.52138
field,4,44,0.00004,0.00038,34.47051
weather,0,30,0.00000,0.00026,33.70352
neighbors,0,30,0.00000,0.00026,33.70352
labor,3,40,0.00003,0.00034,33.22461
perhaps,13,65,0.00012,0.00055,33.68633
seated,37,3,0.00034,0.00003,33.87876
pratyekabuddhas,27,0,0.00024,0.00000,33.14324
Moon,27,0,0.00024,0.00000,33.14324
practicing,27,0,0.00024,0.00000,33.14324
filled,63,15,0.00057,0.00013,33.78586
times,91,31,0.00082,0.00026,33.99549
followers,27,0,0.00024,0.00000,33.14324
yakshas,27,0,0.00024,0.00000,33.14324
palaces,34,2,0.00031,0.00002,33.63688
money,0,29,0.00000,0.00025,32.44029
probably,0,29,0.00000,0.00025,32.44029
experience,3,39,0.00003,0.00033,32.08519
warm,1,33,0.00001,0.00028,32.58504
itself,10,57,0.00009,0.00049,32.37835
foremost,33,2,0.00030,0.00002,32.35650
under,29,95,0.00026,0.00081,32.54749
dragon,30,1,0.00027,0.00001,32.42187
those,222,127,0.00201,0.00108,32.06613
work,26,90,0.00024,0.00077,32.95480
rods,0,28,0.00000,0.00024,31.17922
season,0,28,0.00000,0.00024,31.17922
particles,29,1,0.00026,0.00001,31.10178
poor,16,69,0.00014,0.00059,31.58410
endowed,29,1,0.00026,0.00001,31.10178
saved,26,0,0.00024,0.00000,31.76758
recited,26,0,0.00024,0.00000,31.76758
copy,29,1,0.00026,0.00001,31.10178
off,42,116,0.00038,0.00099,31.31105
Living,26,0,0.00024,0.00000,31.76758
canopies,26,0,0.00024,0.00000,31.76758
Ananda,26,0,0.00024,0.00000,31.76758
All,90,32,0.00081,0.00027,31.80478
age,61,15,0.00055,0.00013,31.79656
laymen,26,0,0.00024,0.00000,31.76758
elephant,25,0,0.00023,0.00000,30.39457
length,6,46,0.00005,0.00039,30.87384
fish,2,35,0.00002,0.00030,30.98266
looking,1,31,0.00001,0.00026,30.16493
Yet,4,40,0.00004,0.00034,30.03979
wiped,25,0,0.00023,0.00000,30.39457
existences,25,0,0.00023,0.00000,30.39457
lapis,25,0,0.00023,0.00000,30.39457
mahasattva,25,0,0.00023,0.00000,30.39457
threefold,25,0,0.00023,0.00000,30.39457
shall,10,55,0.00009,0.00047,30.42846
about,70,160,0.00063,0.00136,30.71317
robes,25,0,0.00023,0.00000,30.39457
Having,44,7,0.00040,0.00006,30.75498
dinner,0,27,0.00000,0.00023,29.92046
pines,0,27,0.00000,0.00023,29.92046
cellar,0,27,0.00000,0.00023,29.92046
railroad,0,27,0.00000,0.00023,29.92046
necklaces,24,0,0.00022,0.00000,29.02443
seemed,2,34,0.00002,0.00029,29.81714
last,36,103,0.00033,0.00088,29.30318
Sun,24,0,0.00022,0.00000,29.02443
expounding,24,0,0.00022,0.00000,29.02443
convert,24,0,0.00022,0.00000,29.02443
daughters,24,0,0.00022,0.00000,29.02443
numberless,24,0,0.00022,0.00000,29.02443
sufferings,24,0,0.00022,0.00000,29.02443
teachers,24,0,0.00022,0.00000,29.02443
laywomen,24,0,0.00022,0.00000,29.02443
bread,0,26,0.00000,0.00022,28.66418
savage,0,26,0.00000,0.00022,28.66418
year,9,51,0.00008,0.00044,28.72263
business,1,30,0.00001,0.00026,28.96030
began,1,30,0.00001,0.00026,28.96030
seek,52,12,0.00047,0.00010,28.45406
they,742,588,0.00672,0.00502,28.38597
early,0,25,0.00000,0.00021,27.41055
somewhat,0,25,0.00000,0.00021,27.41055
foot,3,35,0.00003,0.00030,27.57536
bodhi,23,0,0.00021,0.00000,27.65737
cold,2,32,0.00002,0.00027,27.49993
houses,3,35,0.00003,0.00030,27.57536
lazuli,23,0,0.00021,0.00000,27.65737
immediately,45,9,0.00041,0.00008,27.28413
myself,23,78,0.00021,0.00067,27.77499
unexcelled,23,0,0.00021,0.00000,27.65737
pressed,32,3,0.00029,0.00003,27.71227
seeking,39,6,0.00035,0.00005,27.61132
five,95,39,0.00086,0.00033,27.23774
deeply,23,0,0.00021,0.00000,27.65737
precepts,26,1,0.00024,0.00001,27.16775
jewels,26,1,0.00024,0.00001,27.16775
elephants,23,0,0.00021,0.00000,27.65737
place,126,60,0.00114,0.00051,27.79964
good,196,114,0.00177,0.00097,27.01414
corn,0,24,0.00000,0.00020,26.15978
0,0,24,0.00000,0.00020,26.15978
hours,0,24,0.00000,0.00020,26.15978
nearly,0,24,0.00000,0.00020,26.15978
hardly,0,24,0.00000,0.00020,26.15978
line,3,34,0.00003,0.00029,26.46114
less,9,49,0.00008,0.00042,26.78321
bowed,22,0,0.00020,0.00000,26.29366
neighbor,1,28,0.00001,0.00024,26.56307
midst,61,18,0.00055,0.00015,26.68955
carriages,22,0,0.00020,0.00000,26.29366
Mount,22,0,0.00020,0.00000,26.29366
different,52,13,0.00047,0.00011,26.59175
trainer,22,0,0.00020,0.00000,26.29366
up,122,228,0.00110,0.00194,26.44938
Meanings,22,0,0.00020,0.00000,26.29366
distant,3,33,0.00003,0.00028,25.35279
sins,33,4,0.00030,0.00003,25.96381
appropriate,25,1,0.00023,0.00001,25.86620
hear,117,56,0.00106,0.00048,25.53098
dark,4,36,0.00004,0.00031,25.69441
