Word,lotus.txt count,walden.txt count,lotus.txt freq,walden.txt freq,Log Likelihood
hearted,3,1,0.00003,0.00001,0.80430
Thought,1,0,0.00001,0.00000,0.40215
pieces,2,4,0.00002,0.00003,0.39313
shatter,1,0,0.00001,0.00000,0.40215
attackers,1,0,0.00001,0.00000,0.40215
wielded,1,0,0.00001,0.00000,0.40215
threat,1,1,0.00001,0.00001,0.00356
imminent,1,0,0.00001,0.00000,0.40215
perceiver,1,0,0.00001,0.00000,0.40215
Word,1,0,0.00001,0.00000,0.40215
Kanzeon,1,0,0.00001,0.00000,0.40215
Gate,1,0,0.00001,0.00000,0.40215
goings,2,2,0.00002,0.00002,0.00534
comings,2,2,0.00002,0.00002,0.00534
Diligent,1,0,0.00001,0.00000,0.40215
Gaining,1,0,0.00001,0.00000,0.40215
enriched,1,1,0.00001,0.00001,0.00356
Kinds,1,0,0.00001,0.00000,0.40215
proceeds,1,2,0.00001,0.00002,0.14614
diminution,1,0,0.00001,0.00000,0.40215
performs,1,0,0.00001,0.00000,0.40215
waited,1,2,0.00001,0.00002,0.14614
e,1,1,0.00001,0.00001,0.00356
Worlds,1,0,0.00001,0.00000,0.40215
Virtual,1,0,0.00001,0.00000,0.40215
Has,1,0,0.00001,0.00000,0.40215
emotions,1,0,0.00001,0.00000,0.40215
control,2,2,0.00002,0.00002,0.00534
heterodox,1,0,0.00001,0.00000,0.40215
disrespectful,1,0,0.00001,0.00000,0.40215
excessive,1,1,0.00001,0.00001,0.00356
harmonized,1,2,0.00001,0.00002,0.14614
conveniently,1,0,0.00001,0.00000,0.40215
Bearing,1,0,0.00001,0.00000,0.40215
pressures,1,0,0.00001,0.00000,0.40215
Narayana,1,0,0.00001,0.00000,0.40215
moons,1,0,0.00001,0.00000,0.40215
musicians,1,1,0.00001,0.00001,0.00356
vanished,1,0,0.00001,0.00000,0.40215
spying,1,2,0.00001,0.00002,0.14614
swaying,1,2,0.00001,0.00002,0.14614
shapeliness,1,0,0.00001,0.00000,0.40215
whereas,1,0,0.00001,0.00000,0.40215
impurity,1,3,0.00001,0.00003,0.56560
foulness,1,0,0.00001,0.00000,0.40215
uneven,1,1,0.00001,0.00001,0.00356
donor,1,0,0.00001,0.00000,0.40215
Prince,3,1,0.00003,0.00001,0.80430
suns,1,1,0.00001,0.00001,0.00356
banner,1,1,0.00001,0.00001,0.00356
waiting,3,4,0.00003,0.00003,0.05968
boundlessly,1,0,0.00001,0.00000,0.40215
knob,2,1,0.00002,0.00001,0.26548
Myozon,1,0,0.00001,0.00000,0.40215
profiting,1,0,0.00001,0.00000,0.40215
reference,1,0,0.00001,0.00000,0.40215
grasses,1,1,0.00001,0.00001,0.00356
provides,1,0,0.00001,0.00000,0.40215
allowed,1,3,0.00001,0.00003,0.56560
yours,2,2,0.00002,0.00002,0.00534
sole,1,1,0.00001,0.00001,0.00356
malice,1,0,0.00001,0.00000,0.40215
annihilate,1,0,0.00001,0.00000,0.40215
thieves,1,2,0.00001,0.00002,0.14614
washed,2,3,0.00002,0.00003,0.08991
Ãven,1,0,0.00001,0.00000,0.40215
rage,1,1,0.00001,0.00001,0.00356
center,1,0,0.00001,0.00000,0.40215
Peace,1,0,0.00001,0.00000,0.40215
navamalika,1,0,0.00001,0.00000,0.40215
calculating,1,0,0.00001,0.00000,0.40215
unloose,1,0,0.00001,0.00000,0.40215
banishes,1,0,0.00001,0.00000,0.40215
merchant,2,1,0.00002,0.00001,0.26548
doctor,1,1,0.00001,0.00001,0.00356
srotaapanna,1,0,0.00001,0.00000,0.40215
banish,1,1,0.00001,0.00001,0.00356
con,1,0,0.00001,0.00000,0.40215
brightest,1,0,0.00001,0.00000,0.40215
Small,1,0,0.00001,0.00000,0.40215
Dirt,1,0,0.00001,0.00000,0.40215
Rivers,1,0,0.00001,0.00000,0.40215
finger,1,3,0.00001,0.00003,0.56560
reappeared,1,0,0.00001,0.00000,0.40215
pronouncing,1,0,0.00001,0.00000,0.40215
m,1,0,0.00001,0.00000,0.40215
saddened,1,0,0.00001,0.00000,0.40215
undivided,1,0,0.00001,0.00000,0.40215
poles,1,1,0.00001,0.00001,0.00356
cremated,1,0,0.00001,0.00000,0.40215
pyre,1,0,0.00001,0.00000,0.40215
countenance,1,3,0.00001,0.00003,0.56560
nails,2,5,0.00002,0.00004,0.84842
observance,1,2,0.00001,0.00002,0.14614
verses6,1,0,0.00001,0.00000,0.40215
akshobhyas,1,0,0.00001,0.00000,0.40215
vivaras,1,0,0.00001,0.00000,0.40215
kankaras,1,0,0.00001,0.00000,0.40215
endeavors,1,3,0.00001,0.00003,0.56560
Sitting,1,0,0.00001,0.00000,0.40215
prized,1,1,0.00001,0.00001,0.00356
incensed,1,0,0.00001,0.00000,0.40215
simultaneously,1,0,0.00001,0.00000,0.40215
Anointing,1,0,0.00001,0.00000,0.40215
gum,1,1,0.00001,0.00001,0.00356
liquidambar,1,0,0.00001,0.00000,0.40215
prikka,1,0,0.00001,0.00000,0.40215
turushka,1,0,0.00001,0.00000,0.40215
kunduruka,1,0,0.00001,0.00000,0.40215
swallowed,1,1,0.00001,0.00001,0.00356
seashore,3,2,0.00003,0.00002,0.20926
arrow,1,1,0.00001,0.00001,0.00356
burners,1,0,0.00001,0.00000,0.40215
tribulation,1,0,0.00001,0.00000,0.40215
seventy,2,4,0.00002,0.00003,0.39313
mahrogas,1,0,0.00001,0.00000,0.40215
owe,1,0,0.00001,0.00000,0.40215
